#Step TotalEnergy Pressure AcceptanceRatio Temperature LongRangeCorrection Density
2880000 -3100.31 2.45947 0.436207 0.85 -139.599 0.900232
2890000 -3143.26 2.08248 0.436188 0.85 -139.599 0.900232
2900000 -3123.41 2.31301 0.436185 0.85 -139.599 0.900232
2910000 -3110.47 2.32555 0.436211 0.85 -139.599 0.900232
2920000 -3149.59 1.96416 0.436226 0.85 -139.599 0.900232
2930000 -3117.07 2.29022 0.436212 0.85 -139.599 0.900232
2940000 -3095.66 2.44677 0.436225 0.85 -139.599 0.900232
2950000 -3107.32 2.38415 0.436232 0.85 -139.599 0.900232
2960000 -3086.64 2.53564 0.436225 0.85 -139.599 0.900232
2970000 -3088.62 2.609 0.436195 0.85 -139.599 0.900232
2980000 -3075.83 2.70171 0.436173 0.85 -139.599 0.900232
2990000 -3093.06 2.47339 0.436161 0.85 -139.599 0.900232
3000000 -3077.51 2.62349 0.436166 0.85 -139.599 0.900232
3010000 -3113.82 2.30525 0.436141 0.85 -139.599 0.900232
3020000 -3099.89 2.34944 0.436148 0.85 -139.599 0.900232
3030000 -3103.77 2.36073 0.436164 0.85 -139.599 0.900232
3040000 -3118.14 2.26009 0.436177 0.85 -139.599 0.900232
3050000 -3121.51 2.27824 0.436161 0.85 -139.599 0.900232
3060000 -3132.84 2.16994 0.436159 0.85 -139.599 0.900232
3070000 -3097.5 2.42629 0.436151 0.85 -139.599 0.900232
3080000 -3117.22 2.23028 0.436165 0.85 -139.599 0.900232
3090000 -3120.92 2.20488 0.436171 0.85 -139.599 0.900232
3100000 -3081.25 2.65636 0.43614 0.85 -139.599 0.900232
3110000 -3101.4 2.42804 0.436143 0.85 -139.599 0.900232
3120000 -3101.05 2.43958 0.436147 0.85 -139.599 0.900232
3130000 -3123.58 2.20123 0.436134 0.85 -139.599 0.900232
3140000 -3094.33 2.46755 0.436112 0.85 -139.599 0.900232
3150000 -3112.4 2.28319 0.436109 0.85 -139.599 0.900232
3160000 -3126.61 2.14216 0.436143 0.85 -139.599 0.900232
3170000 -3102.86 2.4141 0.436153 0.85 -139.599 0.900232
3180000 -3140.19 2.00531 0.436172 0.85 -139.599 0.900232
3190000 -3119.74 2.29228 0.436183 0.85 -139.599 0.900232
3200000 -3129.82 2.10256 0.436173 0.85 -139.599 0.900232
3210000 -3101.77 2.35752 0.436205 0.85 -139.599 0.900232
3220000 -3126.05 2.19808 0.436207 0.85 -139.599 0.900232
3230000 -3132.66 2.08772 0.436224 0.85 -139.599 0.900232
3240000 -3115.09 2.28964 0.436238 0.85 -139.599 0.900232
3250000 -3127.48 2.16133 0.436238 0.85 -139.599 0.900232
3260000 -3138.06 2.07012 0.436224 0.85 -139.599 0.900232
3270000 -3140.07 2.03304 0.436229 0.85 -139.599 0.900232
3280000 -3091.99 2.5466 0.436209 0.85 -139.599 0.900232
3290000 -3104 2.38977 0.436237 0.85 -139.599 0.900232
3300000 -3092.06 2.54296 0.436244 0.85 -139.599 0.900232
3310000 -3079.52 2.58351 0.436229 0.85 -139.599 0.900232
3320000 -3126.31 2.2207 0.436257 0.85 -139.599 0.900232
3330000 -3124.84 2.15638 0.436264 0.85 -139.599 0.900232
3340000 -3080.02 2.61751 0.436249 0.85 -139.599 0.900232
3350000 -3094.64 2.47039 0.436263 0.85 -139.599 0.900232
3360000 -3073.71 2.70516 0.436223 0.85 -139.599 0.900232
3370000 -3135.6 2.10001 0.436224 0.85 -139.599 0.900232
3380000 -3131.12 2.11034 0.436232 0.85 -139.599 0.900232
3390000 -3095.51 2.49628 0.436228 0.85 -139.599 0.900232
3400000 -3091.74 2.57244 0.436241 0.85 -139.599 0.900232
3410000 -3139.07 2.0478 0.436243 0.85 -139.599 0.900232
3420000 -3151.21 1.92969 0.436248 0.85 -139.599 0.900232
3430000 -3107.92 2.32201 0.436251 0.85 -139.599 0.900232
3440000 -3143.14 2.11596 0.436257 0.85 -139.599 0.900232
3450000 -3109.95 2.31778 0.436267 0.85 -139.599 0.900232
3460000 -3149.17 1.93684 0.436254 0.85 -139.599 0.900232
3470000 -3127.42 2.05316 0.436265 0.85 -139.599 0.900232
3480000 -3118.84 2.24729 0.436265 0.85 -139.599 0.900232
3490000 -3111.48 2.39056 0.436264 0.85 -139.599 0.900232
3500000 -3122.31 2.26852 0.43629 0.85 -139.599 0.900232
